id,title,creator,type,duration,patterns,why_recommended,link_url,affiliate_ready,needs_review
1,"The War of Art","Steven Pressfield",book,"190 pages","low_aq, low_ci, paralyzed, paralyzed_dreamer, ember","""Resistance"" is Pressfield's name for the force that keeps you from doing your work. If you're feeling burned out or blocked every time you sit down to create, this short kick-in-the-pants book will help you conquer procrastination and self-doubt.","https://www.amazon.com/dp/1936891026",N,N
2,"Deep Work","Cal Newport",book,"304 pages","low_ci, plateau, grinder","You're grinding hard but scatter your energy on emails and social media. Newport shows you how to reclaim your focus and build periods of intense, undistracted creation into your routine.","https://www.amazon.com/dp/1455586692",N,N
3,"So Good They Can't Ignore You","Cal Newport",book,"304 pages","underground_gem, low_aq","If your work deeply touches people but you're struggling with freedom or finances, Newport's research-backed approach will guide you to focus on building rare skills that grant you more options and autonomy.","https://www.amazon.com/dp/1455509124",N,N
4,"Real Artists Don't Starve","Jeff Goins",book,"240 pages","underground_gem, low_aq","You've created something special and resonant, but the ""starving artist"" myth haunts you. Goins debunks that myth and offers practical strategies to turn your creative passions into a sustainable living.","https://www.amazon.com/dp/0718086260",N,N
5,"Keep Going","Austin Kleon",book,"224 pages","burnout, protect_magic, plateau","Whether you're burned out, starting out, or wildly successful, this illustrated guide dishes out 10 simple, playful practices to help you maintain your creative spark.","https://www.amazon.com/dp/0525537832",N,N
6,"The Practice: Shipping Creative Work","Seth Godin",book,"272 pages","paralyzed, paralyzed_dreamer, low_ci, untapped, ember, grinder","If you have trouble finishing and sharing your work, whether from fear or perfectionism, The Practice will nudge you to start shipping your art regularly.","https://www.amazon.com/dp/0593328972",N,N
7,"Essentialism","Greg McKeown",book,"272 pages","low_aq, low_ci, plateau","If your Autonomy score is low because you say ""yes"" to everything and feel stretched in a million directions, this book will teach you to set boundaries and simplify your commitments.","https://www.amazon.com/dp/0804137382",N,N
8,"Rest: Why You Get More Done When You Work Less","Alex Soojung-Kim Pang",book,"352 pages","low_aq, burnout, low_ci","Counterintuitive but true: working ever harder isn't the answer when you're depleted. This book shows that deliberate rest is part of doing great work, not the opposite of it.","https://www.amazon.com/dp/0465074871",N,N
9,"Burnout: The Secret to Unlocking the Stress Cycle","Emily Nagoski & Amelia Nagoski",book,"304 pages","burnout, low_aq, low_ri","If you've felt overwhelmed and exhausted by everything you have to do, yet still worried you weren't doing enough, this book will help you complete the stress cycle and regain energy.","https://www.amazon.com/dp/1984818324",N,N
10,"Flow: The Psychology of Optimal Experience","Mihaly Csikszentmihalyi",book,"336 pages","low_ci, plateau, low_ri","If you've been feeling disengaged or distracted, this classic can help you redesign your work process to invite more flow. That magical state where time flies and you do your best work.","https://www.amazon.com/dp/0061339202",N,N
11,"Art & Fear","David Bayles & Ted Orland",book,"122 pages","paralyzed, paralyzed_dreamer, low_ci, low_ri","This slim, compassionate book explores the difficulties that cause so many artists to give up along the way. If you have plenty of freedom but find yourself not using it because you're scared, this is the gentle kick you need.","https://www.amazon.com/dp/0961454733",N,N
12,"The Dip","Seth Godin",book,"80 pages","plateau, comeback, plateau_walker","Ever hit that monotonous middle of a project where progress stalls? This ultra-short read helps you identify whether you're in a Dip worth pushing through, or a cul-de-sac you should quit.","https://www.amazon.com/dp/1591841666",N,N
13,"Ego Is the Enemy","Ryan Holiday",book,"256 pages","protect_magic, high_aq, high_ci","Sometimes the biggest threat to a creative career is your own ego. If you've been doing great and want to ensure you don't sabotage it, this book will inspire humility and continuous learning.","https://www.amazon.com/dp/1591847818",N,N
14,"Show Your Work!","Austin Kleon",book,"224 pages","low_ri, craftsperson_no_message, low_aq, monk, connector","If you're putting out work that no one seems to notice, or holding back because you're shy, this book will nudge you into the light and show you how to build an audience by sharing your process.","https://www.amazon.com/dp/076117897X",N,N
15,"Big Magic","Elizabeth Gilbert",book,"288 pages","paralyzed, paralyzed_dreamer, low_ci, low_ri","Gilbert tackles the fear that often accompanies creativity (fear of rejection, of not being original) and gently dismantles it. You'll come away ready to live a creative life on your own terms.","https://www.amazon.com/dp/1594634718",N,N
16,"Bird by Bird","Anne Lamott",book,"272 pages","paralyzed, paralyzed_dreamer, low_ci, low_ri","Lamott hilariously eviscerates perfectionism and gives you permission to create something imperfect and honest. Which is better than nothing at all.","https://www.amazon.com/dp/0385480016",N,N
17,"The Big Leap","Gay Hendricks",book,"224 pages","protect_magic, high_aq, plateau_walker","When you're thriving, often you unconsciously pull back or create drama. Hendricks calls this the 'Upper Limit Problem' and shows you how to break through self-imposed limits.","https://www.amazon.com/dp/0061735361",N,N
18,"The Artist's Way","Julia Cameron",book,"222 pages","burnout, low_ci, low_aq, paralyzed_dreamer","This legendary 12-week course in book form has unblocked millions of creatives. If you aren't creating at all due to perfectionism or fear, this is a nurturing, structured way to get moving again.","https://www.amazon.com/dp/0143129252",N,N
19,"Steal Like an Artist","Austin Kleon",book,"160 pages","plateau, untapped, low_ri","This modern classic will free you from the myth of originality. By following your interests and learning from others, you'll inject more YOU into your art.","https://www.amazon.com/dp/0761169253",N,N
20,"Creative Confidence","Tom Kelley & David Kelley",book,"304 pages","low_ri, low_ci, burnout","Written by the founders of IDEO, this book helps you rebuild your creative self-esteem and recover the fearless creativity you had as a child.","https://www.amazon.com/dp/038534936X",N,N
21,"Peak: Secrets from the New Science of Expertise","Anders Ericsson & Robert Pool",book,"336 pages","craftsperson_no_message, low_ri, low_ci","Ever feel like you're putting in hours but not getting better? This book reveals how deliberate practice can break you out of plateaus. It's not about practicing more, but practicing better.","https://www.amazon.com/dp/0544456238",N,N
22,"Atomic Habits","James Clear",book,"320 pages","low_ci, plateau, plateau_walker, grinder, comeback","If your craft intensity is low because you can't build consistent creative habits, this book provides the most actionable system for making small improvements stick. Clear's framework for habit stacking and identity-based change is essential for any creator who knows what to do but struggles to do it consistently.","https://www.amazon.com/dp/0735211299",N,N
23,"Die Empty","Todd Henry",book,"240 pages","protect_magic, high_aq, high_ci","Don't go to your grave with your best ideas still in you. If you have a nagging feeling you're capable of more, this book is the shove you need to make today the day.","https://www.amazon.com/dp/1591846994",N,N
24,"The Creative Act: A Way of Being","Rick Rubin",book,"432 pages","protect_magic, high_aq, high_ri","Like sitting around a cosmic campfire with Rick Rubin. This spiritual guide to cultivating a creative state of mind will help you sustain your Creative Alpha by grounding it in something deeper than metrics.","https://www.amazon.com/dp/0593652886",N,N
25,"The Almanack of Naval Ravikant","Eric Jorgenson (compiling Naval Ravikant)",book,"244 pages","low_aq, underground_gem","Naval's philosophy on building wealth without selling your time is essential for any creative feeling financially trapped. His concept of 'specific knowledge' reframes how to monetize creativity without burnout.","https://www.amazon.com/dp/1544514212",N,N
26,"The Mamba Mentality","Kobe Bryant",book,"208 pages","craftsperson_no_message, low_ri, hustler","Kobe's obsessive approach to mastery is both inspiring and cautionary. If your Craft Intensity is low because you lack structure or discipline, this is a blueprint for relentless improvement.","https://www.amazon.com/dp/0374201234",N,N
27,"Creativity, Inc.","Ed Catmull",book,"368 pages","protect_magic, high_ci","Ed Catmull built Pixar into the most consistently excellent creative studio in history. Essential reading for anyone who wants to sustain creative excellence over decades.","https://www.amazon.com/dp/0812993012",N,N
28,"Turning Pro","Steven Pressfield",book,"146 pages","low_ci, paralyzed, comeback","The sequel to The War of Art focuses on what happens after you beat Resistance: you turn pro. If you're talented but inconsistent, this book will call you out and show you the path.","https://www.amazon.com/dp/1936891034",N,N
29,"Relentless","Tim Grover",book,"256 pages","craftsperson_no_message, low_ri, hustler","Tim Grover trained Michael Jordan and Kobe Bryant. If your Craft Intensity is low because you're soft on yourself, this book will either wake you up or piss you off.","https://www.amazon.com/dp/1476714207",N,N
30,"Can't Hurt Me","David Goggins",book,"364 pages","low_ci, paralyzed, paralyzed_dreamer, plateau_walker, grinder","Goggins' message is brutal: you're probably operating at 40% of your capacity. If you've been coddling yourself and you know it, this will shatter your comfort zone.","https://www.amazon.com/dp/1544512287",N,N
31,"Make Good Art","Neil Gaiman",video,"19 min","burnout, low_aq","The ultimate creative pep talk for hard times. Gaiman's refrain, 'Make good art,' lands like a gentle command from the universe: no matter what happens, use it as fuel.","https://www.youtube.com/watch?v=ikAb-NYkseI",N,N
32,"The Gap","Ira Glass",video,"2 min","low_ri, low_ci, comeback","Only a couple minutes long, but life-changing. Ira Glass explains why your output doesn't yet live up to your taste. The only way to close the gap is to keep creating.","https://www.youtube.com/watch?v=91FQKciKfHI",N,N
33,"How to Get Anything You Want","Alex Hormozi (Diary of a CEO)",video,"2 hr 11 min","low_aq, underground_gem, plateau, grinder","Hormozi built $100M+ businesses and shares the tactical mindset shifts that create leverage. If you're grinding without progress or have talent without freedom, his framework for value creation and pricing will reshape how you think about converting creative skill into autonomy.","https://www.youtube.com/watch?v=XatVNXwLrXo",N,N
34,"Jerry Seinfeld on How to Write a Joke","Tim Ferriss Show",video,"1 hr 30 min","craftsperson_no_message, low_ri, low_ci","Seinfeld's approach to comedy writing is surgical. If your work feels sloppy or you lack a consistent creative process, Jerry's discipline is a masterclass.","https://www.youtube.com/watch?v=yNTmFORn3xQ",N,N
35,"Dave Chappelle on Walking Away from $50 Million","Inside the Actors Studio",video,"45 min","protect_magic, high_ri","Chappelle walked away from the biggest deal in comedy history because it was toxic to his creativity. A masterclass in protecting your artistic soul when the industry wants to own it.","https://www.youtube.com/watch?v=hzlvDV3mpZw",N,N
36,"John Cleese on Creativity in Management","John Cleese",video,"36 min","burnout, low_aq","Cleese explains 'open mode' (playful, creative) vs 'closed mode' (anxious, executive). If you can't seem to access flow, this framework gives you practical methods.","https://www.youtube.com/watch?v=Pb5oIIPO62g",N,N
37,"Creative Quest","Questlove",book,"304 pages","low_ri, craftsperson_no_message, plateau, connector","Questlove has collaborated with everyone from D'Angelo to Hamilton. His meditation on creativity explores how to stay curious, embrace collaboration, and keep resonance alive across decades. Essential for craftspeople who need more soul in their work and connectors who want to understand creative chemistry.","https://www.amazon.com/dp/0062670573",N,N
38,"Tyler, the Creator on Finding Your Voice","Tyler, the Creator",video,"15 min","underground_gem, low_aq, low_ri","Tyler went from banned provocateur to Grammy winner without compromising his weirdness. Proof that radical authenticity finds its audience.","https://www.youtube.com/watch?v=DVuYSWp5ISO",N,N
39,"David Lynch on Creativity and Meditation","David Lynch",video,"20 min","burnout, low_aq","Lynch credits Transcendental Meditation with everything in his creative life. If your mental space is cluttered or you can't access deep creative states, his calm conviction might inspire you.","https://www.youtube.com/watch?v=KVwVR_0F5eg",N,N
40,"Quincy Jones: The Big Interview","Various",video,"45 min","protect_magic, high_ci","70 years of wisdom from someone who worked with Sinatra to Michael Jackson. If you want perspective on building a career that lasts decades, Quincy's insights are irreplaceable.","https://www.youtube.com/watch?v=bh8R9bRz50c",N,N
41,"How Billie Eilish Creates Music","Billie Eilish & Finneas",video,"15 min","low_ri, low_aq","They made a Grammy-winning album in a bedroom. If your Autonomy is low because you think you need more resources, watch this. Constraints breed creativity.","https://www.youtube.com/watch?v=kpxBGJBOQSE",N,N
42,"Hayao Miyazaki on Creative Exhaustion","Studio Ghibli",video,"20 min","burnout, low_aq","Miyazaki pours his entire soul into every frame, then collapses from exhaustion. Beautiful and terrifying. A powerful mirror for anyone who takes their craft seriously.","https://www.youtube.com/watch?v=tqVqU3RGBqg",N,N
43,"Virgil Abloh's Last Lecture","Virgil Abloh",video,"1 hr 30 min","untapped, low_ri","Virgil's '3% rule' and frameworks for sampling and remixing are essential for any creative feeling stuck or derivative. How to honor influences while creating something undeniably yours.","https://www.youtube.com/watch?v=biFlrzTJets",N,N
44,"Ira Glass on Storytelling (Full 4-Part Series)","Ira Glass",video,"20 min","low_ri, low_ci","The two building blocks of storytelling: the anecdote and the moment of reflection. Simple framework, profound impact. Required viewing for anyone who communicates through narrative.","https://www.youtube.com/watch?v=5pFI9UuC_fc",N,N
45,"Nipsey Hussle on Marathon Mentality","Nipsey Hussle",video,"25 min","low_aq, underground_gem, hustler","Nipsey spent a decade grinding independently before mainstream success. If you're impatient, his philosophy, 'the marathon continues,' is a reminder that sustainable success is built brick by brick.","https://www.youtube.com/watch?v=7_7Rd9urT0Y",N,N
46,"Rick Rubin's 60 Minutes Interview","Rick Rubin / CBS",video,"13 min","protect_magic, high_aq, high_ri","Rubin emphasizes intuition, listening, and getting out of the way of the art. If you're doing great but fear overthinking might ruin it, this will remind you to trust the process.","https://www.youtube.com/watch?v=sE1teB5bN-w",N,N
47,"Exit Through the Gift Shop","Banksy",documentary,"1 hr 27 min","untapped, low_ri","A wild cautionary tale about art and authenticity. If your Resonance is low because you've been focusing on style over substance, this film will hit you in the gut.","https://www.amazon.com/Exit-Through-Gift-Shop-Banksy/dp/B004C04P9E",N,N
48,"Perennial Seller","Ryan Holiday",book,"256 pages","high_ri, protect_magic, plateau, craftsperson_no_message","You've built resonance. Now how do you make it last? Holiday studied works that endured for decades and extracted the principles. If you're protecting what's working or trying to create something timeless rather than viral, this book reframes success as longevity rather than spikes.","https://www.amazon.com/dp/0143109014",N,N
49,"Give and Take","Adam Grant",book,"320 pages","connector, low_ri, underground_gem, plateau","Grant's research proves that givers—not takers or matchers—end up most successful. For connectors who build through relationships or underground gems struggling to convert resonance into opportunity, this reframes generosity as strategy and shows how to give without burning out.","https://www.amazon.com/dp/0143124986",N,N
50,"Digital Minimalism","Cal Newport",book,"304 pages","monk, low_aq, low_ci, high_distraction","Newport makes the case for intentional technology use. If you're a monk-type who craves deep focus but battles digital noise, or anyone whose autonomy and craft intensity suffer from attention leaks, this provides a philosophy and practical framework for reclaiming your mind.","https://www.amazon.com/dp/0525536515",N,N
51,"Peak Performance","Brad Stulberg & Steve Magness",book,"240 pages","grinder, hustler, burnout, high_ci","The science of sustainable excellence. If you're a grinder who pushes hard but risks collapse, or a hustler who needs to maintain intensity without burning out, this book balances the growth equation: stress + rest = growth. The missing manual for high performers.","https://www.amazon.com/dp/162336793X",N,N
52,"Mastery","Robert Greene",book,"352 pages","monk, grinder, plateau, craftsperson_no_message, low_ci","Greene studied history's greatest masters—Darwin, Mozart, da Vinci—to extract the path to mastery. For monks pursuing depth, grinders seeking purpose in their intensity, or anyone plateaued in their craft, this book reveals the apprenticeship mindset and the 10,000 hour journey ahead.","https://www.amazon.com/dp/014312417X",N,N
